symbol,date,open,high,low,close,volume
20MICRONS,2025-03-18,189.9,202.0,187.09,198.99,95224
20MICRONS,2025-03-19,199.0,214.0,198.0,201.15,147127
20MICRONS,2025-03-20,202.0,204.95,200.42,201.11,75022
20MICRONS,2025-03-21,202.65,205.71,201.49,204.18,68420
20MICRONS,2025-03-24,208.0,212.39,202.21,204.2,145695
20MICRONS,2025-03-25,206.0,207.23,200.01,202.26,145681
20MICRONS,2025-03-26,202.26,203.0,194.1,195.16,78074
20MICRONS,2025-03-27,191.6,196.5,191.57,192.42,128974
20MICRONS,2025-03-28,194.1,202.01,188.0,191.04,115354
20MICRONS,2025-04-01,191.0,211.09,189.96,206.81,164514
20MICRONS,2025-04-02,207.0,209.59,201.01,207.32,73293
20MICRONS,2025-04-03,207.32,212.0,203.35,207.35,74816
20MICRONS,2025-04-04,204.61,206.0,192.0,198.27,146828
20MICRONS,2025-04-07,180.0,194.89,168.0,190.01,172631
20MICRONS,2025-04-08,198.0,198.99,187.92,191.13,84100
20MICRONS,2025-04-09,190.9,192.09,185.11,190.32,45504
20MICRONS,2025-04-11,196.6,199.79,192.16,195.15,43483
20MICRONS,2025-04-15,199.11,207.03,198.05,204.64,84307
20MICRONS,2025-04-16,205.15,208.58,204.02,206.24,58695
20MICRONS,2025-04-17,207.9,224.45,206.24,218.38,333590
20MICRONS,2025-04-21,220.3,221.99,216.75,218.62,94696
20MICRONS,2025-04-22,218.0,232.65,215.21,229.07,277000
20MICRONS,2025-04-23,229.9,234.65,224.4,227.48,98360
20MICRONS,2025-04-24,228.0,235.6,225.05,230.8,123930
20MICRONS,2025-04-25,232.0,232.0,217.35,218.76,158776
20MICRONS,2025-04-28,220.32,223.2,215.21,219.72,93335
20MICRONS,2025-04-29,218.5,230.0,215.0,222.39,162691
20MICRONS,2025-04-30,222.39,222.9,209.01,210.52,113893
20MICRONS,2025-05-02,212.2,217.8,207.0,208.52,60379
20MICRONS,2025-05-05,210.19,221.8,207.21,217.6,96338
20MICRONS,2025-05-06,217.6,222.25,210.0,212.04,103828
20MICRONS,2025-05-07,207.0,218.0,207.0,215.11,98506
20MICRONS,2025-05-08,217.26,218.17,208.0,209.1,52999
20MICRONS,2025-05-09,205.0,221.99,202.0,214.94,189941
20MICRONS,2025-05-12,222.35,234.0,221.12,226.85,182533
20MICRONS,2025-05-13,228.55,228.91,219.5,221.27,92233
20MICRONS,2025-05-14,221.27,225.0,218.99,220.67,62521
20MICRONS,2025-05-15,222.35,225.28,220.78,224.02,47699
20MICRONS,2025-05-16,226.25,226.25,220.0,222.09,90955
20MICRONS,2025-05-19,222.09,244.9,222.09,240.6,336076
20MICRONS,2025-05-20,244.46,249.75,235.01,236.14,207448
20MICRONS,2025-05-21,237.9,238.2,231.32,235.31,65739
20MICRONS,2025-05-22,235.61,244.97,235.61,242.25,170752
20MICRONS,2025-05-23,247.99,247.99,239.99,243.1,137333
20MICRONS,2025-05-26,238.41,244.59,235.22,236.76,165883
20MICRONS,2025-05-27,238.99,238.99,228.78,233.74,118879
20MICRONS,2025-05-28,233.0,238.0,229.27,230.71,81415
20MICRONS,2025-05-29,232.15,232.73,226.43,229.39,68709
20MICRONS,2025-05-30,229.95,230.85,225.0,225.84,73770
20MICRONS,2025-06-02,224.2,226.02,217.35,222.35,234470
20MICRONS,2025-06-03,222.35,229.74,218.82,220.01,223151
20MICRONS,2025-06-04,221.1,221.99,215.05,217.56,122286
20MICRONS,2025-06-05,219.4,233.65,219.4,229.31,426424
20MICRONS,2025-06-06,229.33,232.6,223.15,227.34,167624
20MICRONS,2025-06-09,229.9,234.51,227.27,228.17,117867
20MICRONS,2025-06-10,230.5,230.5,223.33,224.05,122553
20MICRONS,2025-06-11,223.33,239.97,223.33,234.47,324681
20MICRONS,2025-06-12,234.47,234.48,226.52,228.14,92405
20MICRONS,2025-06-13,225.2,226.99,221.0,224.69,112205
